Response ID,Timestamp (mm/dd/yyyy),"Take a few moments to remember the situation that you thought of and re-experience the emotions you felt at that time as strongly as possible.In as much detail as possible, describe the events of the experience as you would explain them out loud to a friend, paying special attention to your thoughts and feelings during the event.","Which emotions were most present for you during this experience? (select all that apply) - Anger (e.g., Rage, Mad, or Irritated)","Which emotions were most present for you during this experience? (select all that apply) - Disgust (e.g., Nausea, Sickened, or Revulsion)","Which emotions were most present for you during this experience? (select all that apply) - Fear (e.g., Terror, Scared, or Panic)","Which emotions were most present for you during this experience? (select all that apply) - Anxiety (e.g., Dread, Nervous, or Worry)","Which emotions were most present for you during this experience? (select all that apply) - Sadness (e.g., Grief, Lonely, or Empty)","Which emotions were most present for you during this experience? (select all that apply) - Desire (e.g., Wanting, Craving, or Longing)","Which emotions were most present for you during this experience? (select all that apply) - Relaxation (e.g., Easygoing, Chilled out, or Calm)","Which emotions were most present for you during this experience? (select all that apply) - Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745143,8/24/2022 14:09,New home away from everyone In order to take some time to heal has gave me the strength to build myself back up and better myself by feeling happier and content,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745138,8/24/2022 14:09,Happy to playing music in the school and looking the mrs in the house,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745136,8/24/2022 14:09,My mother helping me to feel better if i felt unwell as a child,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82745133,8/24/2022 14:09,It is good because I rather be in a good mood and it was like to do it,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745130,8/24/2022 14:09,It seemed very urgent and immediate. I believe a quick response was needed.,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745127,8/24/2022 14:09,there was a man talking to another in a taxi then and old man putting headphones on and then students playing wind instruments,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82745121,8/24/2022 14:09,4 hours for a delivery order from family order you,"Anger (e.g., Rage, Mad, or Irritated)",,,,"Sadness (e.g., Grief, Lonely, or Empty)","Desire (e.g., Wanting, Craving, or Longing)","Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82745118,8/24/2022 14:09,finding out that I had stage 4 kidney disease and it would never improve only get worse.,"Anger (e.g., Rage, Mad, or Irritated)",,,"Anxiety (e.g., Dread, Nervous, or Worry)",,"Desire (e.g., Wanting, Craving, or Longing)",,
82745116,8/24/2022 14:09,When first having issues with my rheumatoid arthritis I was thinking how bad and can I get away from the passion I was having before being tested,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745115,8/24/2022 14:09,When I was disgnose again with H pylori I was really sad and concerned,"Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745104,8/24/2022 14:09,I was very worried about my cancer diagnosis. But l had the treatment and now lm in remission.,,,"Fear (e.g., Terror, Scared, or Panic)",,,,,
82745103,8/24/2022 14:09,I don’t even understand the question it literally makes no sense I feel confused but even more so confused than I did from the first question,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745101,8/24/2022 14:09,MY BIRTHDAY WAS GOOD I WAS HAPPY FUN FULL OF FRIENDSHIP,,,,,,"Desire (e.g., Wanting, Craving, or Longing)","Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745094,8/24/2022 14:09,I can’t think of any specific site tion to mention,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82745088,8/24/2022 14:09,I haven’t had a bad health experience to worry about,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745086,8/24/2022 14:09,My sister broke my elbow on accident was traumatic,,,"Fear (e.g., Terror, Scared, or Panic)",,,,,
82745078,8/24/2022 14:09,"When I was a child someone threw a stone at me, whick broke one of my front teeth. I was shocked as I never saw who threw it or why.",,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745077,8/24/2022 14:09,The best thing about the internet gaming site for the internet was to make it tomorrow night there are,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)",,,,,
82745076,8/24/2022 14:09,Well I was hoping for a house. Back last year me and my family had 2 months to find a house or we would be homeless. The whole time I was dressed to the max thinking we weren't going to find one and wed lose everything. Then the very last day we found a place and I was so relieved I couldn't believe.it,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745075,8/24/2022 14:09,I was struggling a lot at this point. I had problems with my breathing and this has been going on for a while and one of my doctors just said that nothing is wrong with me and everything is fine. This threw me off and made me concerned and not ok as I didn’t know what the problem was as I was clearly struggling. Not very supportive,"Anger (e.g., Rage, Mad, or Irritated)",,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745066,8/24/2022 14:09,When I was a little kid I was abused by my dad and to this day my memory has been manipulated and pain sores every day,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745062,8/24/2022 14:09,Vi un hombre escuchando algo y despues unas personas cantanto con instrumentos,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82745050,8/24/2022 14:09,Dad unwell in hospital. Frustration at not being allowed to visit as COVID restrictions. Fear and anxiety at the unknown,"Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745047,8/24/2022 14:09,I remembered having to be rushed to the hospital cause I had trouble breathing. I remembered I was panicking when I thought I was going to die.,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745045,8/24/2022 14:09,Being in Hospital on deaths bed and getting released 2 weeks later,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745035,8/24/2022 14:09,I had to have an operation before I could have braces to have small gold chains put into my gums to pull some teeth down as they didn’t come on their own. I was really nervous about going under anaesthetic. The recovery process was difficult and I remember being in a lot of pain when I woke up. I couldn’t eat solid foods for days. It was hard,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745031,8/24/2022 14:09,"Reaching a personal best when training, feeling of overjoy",,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745029,8/24/2022 14:09,A very big contract then I have it when I start work for Heathrow Airport,,,,,,"Desire (e.g., Wanting, Craving, or Longing)","Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745025,8/24/2022 14:08,The texture was like a mixture of glue and slime and it smelled like baby sick it was disgusting,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)",,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745023,8/24/2022 14:08,I was a little bored then realized the man needed earphones to hear and I felt good,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745022,8/24/2022 14:08,Remind me of being scared as a young man at night walking the street in a high crime area,,,"Fear (e.g., Terror, Scared, or Panic)",,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82745019,8/24/2022 14:08,Great to listen to very talented musicians Practising very well,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82745017,8/24/2022 14:08,I had an experience where I saw a car and it crashed but it did not make a sound and I felt peacful,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82745013,8/24/2022 14:08,I’m not sure why I need to describe this. One situation I can think of is when my son was first born and I was struggling to breastfeed him and lots of different nurses kept saying different things. It made me feel very frustrated and confused,"Anger (e.g., Rage, Mad, or Irritated)",,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745008,8/24/2022 14:08,This survey isn't great and really doesn't make sense,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82745007,8/24/2022 14:08,I wouldn't explain them to a friend because I truly try not to influence anyone's decision when it comes to healthcare,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82745004,8/24/2022 14:08,Confused no clue what it was about. So I don't know,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82744999,8/24/2022 14:08,Kids learning at school how to play trumpts and taxi driver,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82744996,8/24/2022 14:08,My experience would be when I had a heart attack and I never really healed fully from it and now I'm suffering still 2 years later,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82744995,8/24/2022 14:08,I am imagining my partner and his presence someone just being there is extremely comforting,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82744992,8/24/2022 14:08,I had some cognitive behavioural therapy that made me more positive,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82744989,8/24/2022 14:08,i didn't have one of these as i was sittin gquietly in the house watching the football,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82744988,8/24/2022 14:08,None I don't know what to say on this question None I don't know what to say on this question None I don't know what to say on this question,,,"Fear (e.g., Terror, Scared, or Panic)",,,"Desire (e.g., Wanting, Craving, or Longing)",,
82744979,8/24/2022 14:08,A feeling of anxiety and uncertainty about the future. Will I be part of the future I have in my mind.,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82744977,8/24/2022 14:08,Happiness is allowed due to t he connection of families through wireless connection internet due to multicultural and communication through them so yes it is very possible,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82744975,8/24/2022 14:08,"Nothing, nonsense, a load of guff really...hmm, how many more words?",,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82744974,8/24/2022 14:08,It's a good thing and I would recommend it. It's a great way to advertise what you want.,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82744970,8/24/2022 14:08,"Certain gender roles and standards that people have to live by. Males and females playing a certain role, of coure that was back in the day.",,,,,,"Desire (e.g., Wanting, Craving, or Longing)",,
82744968,8/24/2022 14:08,I lost my amazing mum 3yrs ago and I've still not recovered as she died in my arms as i tried to rescucitate her,,,"Fear (e.g., Terror, Scared, or Panic)",,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82744966,8/24/2022 14:08,I felt really sad and scared. I couldn't leave my room or go to school. I didnt even want to see my friends or speak to anyone,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82744962,8/24/2022 14:08,"it felt really bad, therefore i decided to play games",,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82744959,8/24/2022 14:08,Loss of my brother. Didn't feel anything. Had to be strong for everyone else,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82744958,8/24/2022 14:08,Felt like the dr did not have any compassion very dismissy,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)",,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82744955,8/24/2022 14:08,I don't know that it was a emotional experience for me but I have always been insensitive,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82744952,8/24/2022 14:08,There was a man leaving a taxi and several Japanese school girls practicing for brass band performances,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82744946,8/24/2022 14:08,Wanting to keep my family and make sure we are always happy. But there can always be hurdles in the way and that's normal you just have to be there for each other.,,,,,,"Desire (e.g., Wanting, Craving, or Longing)","Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82744937,8/24/2022 14:08,I was in a shopping mall one time and on out way out some guys started shooting. Everyone was running and scard.,"Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)",,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82744936,8/24/2022 14:08,I thought it was ackward and strange. I didn't really understand the point in it.,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82744935,8/24/2022 14:08,when i was babysitting it played an part with my emotions,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82744928,8/24/2022 14:08,My stepdaughter eas attacked by a women neighbour and I was trying to usher my stepdaughter into the house. My wife attacked the women punching her several times I was in Panic mode and then tried to get my wifecand kids in the house. I got them in the house and thecwomens boyfriend came at me so I lashed out and hit home before he could hit me. He ended up knocked out on the floor. My stepson went to hime and started saying that I had killed him. I was in shock and just got everybody in the house. The police later arrested me. The man was ok,"Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82744920,8/24/2022 14:08,Confused i didn’t understand what was going on. It changed setting from the old man on his desk and then to the girls in the classroom playing the trumbon,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82744914,8/24/2022 14:08,i don't remember a particular event where i felt comforted about my health,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82744913,8/24/2022 14:08,The last time I was nauseous I really wanted to feel better.,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,"Anxiety (e.g., Dread, Nervous, or Worry)",,"Desire (e.g., Wanting, Craving, or Longing)",,
82438391,8/19/2022 14:26,"Wells I felt super bad that i was about to finish a home purchase and wife ended not wanting to sign title or quit claim deed and I had to cancel the purchase losing money, I am super angry and now I will seek divorce. I hate her so much that it does not matter how much money she gets from me","Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,,
82438146,8/19/2022 14:23,"Car crash, knew something bad was going to happen driving along a dodgy road and it did","Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82438121,8/19/2022 14:23,I felt sick and wanted to get away fast. Its un natural,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82438119,8/19/2022 14:23,"I was in a lot of emotional pain, feeling very depressed and not in control of who I was as a person. I felt like I was to blame when really it was the other person who made me feel this way.","Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82438101,8/19/2022 14:23,i lost my grandfather to dimentia and he no longer knew who anyone was and that ewas the scariest thing ive ever thought of.,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82438093,8/19/2022 14:23,I mostly felt relaxed but curious to know what was going on,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82438091,8/19/2022 14:23,I was totally confused from beginning to end. Nothing made any sense. None of the scenes linked at all. I had no idea what I was watching & it was a waste of my time.,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82438088,8/19/2022 14:22,I remember my car accident where my car was total. I was panicked and angry and terrified.,"Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82438086,8/19/2022 14:22,I felt down I was pretty depressed I thank God and the doctors who revived me,,,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82438085,8/19/2022 14:22,I don't have any moments like that. I have had health issues but not to that extent.,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82438071,8/19/2022 14:22,Having no money to enjoy life Sad worried hungry Dissatisfied Overwhelmed,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82438070,8/19/2022 14:22,I was in a hospital emergency room with my first undiagnosed migraine. It was extremely painful and I was beside myself. The hospital delayed giving me any medication and I suffered greatly.,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82438063,8/19/2022 14:22,"I encountered a woman yelling at her young daughter about bathing at the bus stop. It made me really mad the things she was saying to her. My heart felt sympathy for the young girl. When I got closer the woman smelled awful, like and old dead animal. Now I'm feeling mad, disgusted, and confused","Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)",,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82438062,8/19/2022 14:22,Just let me the love of god is a woman to get the love of god is a good day for the help I don't think it will help you out,,,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82438061,8/19/2022 14:22,It was horrible when I had a hyperglycemia wave luckily I was with my best friend to help me,,,"Fear (e.g., Terror, Scared, or Panic)",,,,,
82438051,8/19/2022 14:22,Betting on a horse that was tipped . Excitement towards end of race when horse came and won,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82438049,8/19/2022 14:22,After years of trying to find an answer or explanation of my symptoms my GP diagnosed me as having fibromyalgia and explained to me what medications he was going to prescribe in order to try to relieve some of the symptoms. I was so relieved that I cried,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82438044,8/19/2022 14:22,It’s good and amazing and it’s super great for the quality and everything,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82438041,8/19/2022 14:22,The emotions of people in a certain situation determines thur reactions to some issues,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82438036,8/19/2022 14:22,My friend always expects me to get them out of very bad situations and wants me to drop everything I am doing.,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)",,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82438032,8/19/2022 14:22,Not really sure what the question is asking me to answer,,,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82438029,8/19/2022 14:22,Hoping the cab did not get into an accident. I was worried. The elder man listening to something his headphones I was curious. What was the reason for theusic class I was anixious.,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,"Desire (e.g., Wanting, Craving, or Longing)","Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82438027,8/19/2022 14:22,I had very good memories of the time as it was a good time in my life,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82438024,8/19/2022 14:22,My girlfriend has left me and didn't even tell me now lm left All alone,"Anger (e.g., Rage, Mad, or Irritated)",,,,,,,
82438023,8/19/2022 14:22,I can't think of anything that classifies as the event,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82438022,8/19/2022 14:22,My sons being born and holding them in my arms for the first time,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82438021,8/19/2022 14:22,"i was hurting and felt empty inside, i was ashamed. i was stupid","Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82438011,8/19/2022 14:22,"When I was about 13 or 14 years old, I was riding the bus home from school when one of my classmates on the bus reached over at me and punched my nose. Within a few minutes my nose became black and blue, to the point where it was embarrassing. All of my friends were pointing at my face and laughing. The kid who did it didn't really mean to cause he any harm, and in fact, he actually may have saved my life that day. The next day my mom took me to the doctor to find out why my nose bruised so easily. It turned out that I had a very rare condition called ITP which caused the body to produce low amounts of blood platelets. My doctor ordered me not to do anything strenuous for a while, at least until my platelet count was back high enough to clot my blood. Within a few months I was healthy again. So, even though I was upset at the time and embarrassed, the kid who pinched my nose only helped me that day.","Anger (e.g., Rage, Mad, or Irritated)",,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82438008,8/19/2022 14:22,"When I was a young child (and all through my childhood) I was mentally, emotionally and verbally abused by someone (I don’t feel comfortable mentioning who). He would shout and swear at me over the tiniest of things and it would make me feel very scared of him.","Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82438001,8/19/2022 14:22,"I thought it was dull and boring. The instruments were extremely annoying, and it was uninformative",,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82437991,8/19/2022 14:22,My friend cut his hand by reaching into a blender when he hadn't switched it off properly. There was a messy cut with a lot of blood. It was shocking and disturbing to see,,,"Fear (e.g., Terror, Scared, or Panic)",,,,,
82437986,8/19/2022 14:22,I feel like people could really relate to this article.,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,"Desire (e.g., Wanting, Craving, or Longing)",,
82437974,8/19/2022 14:21,I remember when my knees was hurting really bad and my hips and I didn't understand what was going on and I went to the doctor and he told me that I had arthritis and both my hips and then my knees I was totally shocked and frustrated at the situation,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437970,8/19/2022 14:21,i just felt awful and felt like the world was collapsed,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437968,8/19/2022 14:21,Feeling excited on Getting a new car after breakdown of old,,,,,,"Desire (e.g., Wanting, Craving, or Longing)",,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437962,8/19/2022 14:21,"Distressed, upset. In pain and agony, and feeling sick.",,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437958,8/19/2022 14:21,Was happy joyful excited overjoyed played good music sounded beuatiful,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82437957,8/19/2022 14:21,My mom died from triple negative breast cancer and I watched her get worse every day and watched her die,"Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)","Desire (e.g., Wanting, Craving, or Longing)",,
82437956,8/19/2022 14:21,Great variety and can also be a way of knowing which can also be a true way to know,,,,,,"Desire (e.g., Wanting, Craving, or Longing)","Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82437954,8/19/2022 14:21,i felt bored and not interested at all. It was dull to watch and to look at.,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82437951,8/19/2022 14:21,fearing for your life and having your whole life flash before your eyes,,,"Fear (e.g., Terror, Scared, or Panic)",,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82437947,8/19/2022 14:21,I hurt my back while working and a friend said they could help loosen up my muscles. it seemed to work but the next morning I wasn't able to move and it took me 20 minutes to get out of bed and up the stairs. I ended up losing my job and when I went to the ER I was diagnosed with disc degeneration disease and arthritis in my lower back. so when my friend tried helping me it made everything worse,"Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437945,8/19/2022 14:21,Great product and great service service staff great staff great hun and staff great service service staff and service staff service service staff great service service staff and staff great staff great hun,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437941,8/19/2022 14:21,Annoyed with waiting noisy with joints cracking cringe,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437939,8/19/2022 14:21,"Getting to work & my boss not breathing laid out on the floor & having to dial 999 & start cpr & continue for 10 mins until the first response arrived, I didn’t actually feel anything until afterwards then I went into shock",,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437936,8/19/2022 14:21,I had a late miscarriage when I was 5 months pregnant in 2020. It was devastating and heartbreaking. I can’t put my feelings to words because the emotional pain I experienced was beyond words.,"Anger (e.g., Rage, Mad, or Irritated)",,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82437932,8/19/2022 14:21,When I was younger my ex-husband attacked me viciously with a knife slashing my face. I was terrified and thought he was going to kill me.,,,"Fear (e.g., Terror, Scared, or Panic)",,,,,
82437930,8/19/2022 14:21,Had no thoughts or experience not follow the event,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82437929,8/19/2022 14:21,Not sure what to think about this film either no answer,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437927,8/19/2022 14:21,When the doctor reassured me that my condition was manageable with appropriate medication and professional treatment,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82437925,8/19/2022 14:21,I’m not sure what the survey is asking me at this time,"Anger (e.g., Rage, Mad, or Irritated)",,,,,,,
82437922,8/19/2022 14:21,I thought of no situation unfortunately at that time,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437914,8/19/2022 14:21,This was a pointless clip no story or meaning to it and no clear purpose,"Anger (e.g., Rage, Mad, or Irritated)",,,,,,,
82437910,8/19/2022 14:21,I wanted to get into my programs masters course and got in. I was super excited and motivated to get stuff done and work.,,,,,,"Desire (e.g., Wanting, Craving, or Longing)","Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437907,8/19/2022 14:21,i felt scared when the doctor told me i had asthma,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437906,8/19/2022 14:21,"I got jumped on by 2 bouncers using knuckle dusters, I was badly beaten and had blood squirting from a wound on my head, I don't remember any emotions as I was to drunk","Anger (e.g., Rage, Mad, or Irritated)",,,,,,,
82437904,8/19/2022 14:21,Ok choice the idea of the world so buried it ok hogs off,,,"Fear (e.g., Terror, Scared, or Panic)",,,,,
82437901,8/19/2022 14:21,the player relax very much and eye catching for some one who looks closely,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82437895,8/19/2022 14:21,I had my first son and was really scared but it ended up being the best thing that ever happened to me despite being mentally exhausted and upset due to his father.,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,"Desire (e.g., Wanting, Craving, or Longing)",,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
